time,open,high,low,close,volume,spread
2025-09-16T00:00:00Z,3681.22,3697.633,3680.265,3690.69,11.28,0.555
2025-09-17T00:00:00Z,3691.255,3691.965,3654.968,3663.082,16.29,0.6
2025-09-18T00:00:00Z,3658.698,3660.058,3635.595,3640.205,14.84,0.579
2025-09-19T00:00:00Z,3640.019,3684.199,3638.935,3683.68,13.19,0.554
2025-09-21T00:00:00Z,3688.365,3690.63,3685.836,3686.365,1.51,0.746
2025-09-22T00:00:00Z,3686.465,3748.101,3686.075,3747.667,12.93,0.561
2025-09-23T00:00:00Z,3747.235,3785.8,3743.32,3764.41,25.43,0.564
2025-09-24T00:00:00Z,3756.526,3772.986,3730.025,3736.07,14.66,0.544
2025-09-25T00:00:00Z,3736.705,3755.955,3730.715,3748.85,16.66,0.579
2025-09-26T00:00:00Z,3739.204,3783.875,3737.7,3782.975,19.44,0.548
2025-09-28T00:00:00Z,3757.01,3771.295,3756.896,3770.425,1.69,0.745
2025-09-29T00:00:00Z,3813.64,3831.455,3806.535,3828.965,11.06,0.564
2025-09-30T00:00:00Z,3848.215,3867.309,3804.479,3859.061,25.41,0.55
2025-10-01T00:00:00Z,3869.095,3895.165,3855.119,3862.225,14.13,0.566
2025-10-02T00:00:00Z,3856.087,3886.747,3843.545,3855.61,14.14,0.639
2025-10-03T00:00:00Z,3856.882,3891.758,3847.495,3889.58,14.08,0.601
2025-10-05T00:00:00Z,3899.802,3920.968,3898.269,3909.654,4.95,0.842
2025-10-06T00:00:00Z,3918.21,3959.02,3917.765,3958.035,16.44,0.572
2025-10-07T00:00:00Z,3969.619,3986.675,3940.963,3985.665,20.45,0.598
2025-10-08T00:00:00Z,3992.417,4053.25,3984.41,4050.05,15.78,0.585
2025-10-09T00:00:00Z,4019.651,4053.75,3944.56,3977.078,27.22,0.636
2025-10-10T00:00:00Z,3973.14,4006.72,3973.14,3983.49,21.66,0.681
2025-10-12T00:00:00Z,4042.515,4060.165,4032.215,4035.17,5.14,1.214
2025-10-13T00:00:00Z,4052.065,4110.95,4051.11,4108.645,15.22,0.662
2025-10-14T00:00:00Z,4124.503,4179.935,4111.069,4142.13,33.89,0.749
