time,open,high,low,close,volume,spread
2025-09-19T00:00:00Z,0.66071,0.66165,0.65945,0.65951,22272.56,9e-05
2025-09-22T00:00:00Z,0.65882,0.65996,0.6582,0.65978,19659.48,9e-05
2025-09-23T00:00:00Z,0.65968,0.66108,0.6587,0.66,26252.67,0.0001
2025-09-24T00:00:00Z,0.66116,0.66231,0.65769,0.658,35860.89,9e-05
2025-09-25T00:00:00Z,0.65931,0.65983,0.65434,0.65498,36441.47,0.0001
2025-09-26T00:00:00Z,0.65382,0.65485,0.65267,0.65443,25994.37,9e-05
2025-09-29T00:00:00Z,0.65517,0.65789,0.65504,0.65751,20986.72,0.00016
2025-09-30T00:00:00Z,0.6593,0.66285,0.65864,0.66159,32744.8,9e-05
2025-10-01T00:00:00Z,0.66045,0.662,0.65959,0.66133,32628.17,9e-05
2025-10-02T00:00:00Z,0.66157,0.66212,0.65847,0.65975,34945.34,9e-05
2025-10-03T00:00:00Z,0.6595,0.66097,0.6589,0.66002,47854.69,9e-05
2025-10-06T00:00:00Z,0.65942,0.6619,0.65904,0.66164,47185.45,9e-05
2025-10-07T00:00:00Z,0.66165,0.66207,0.65834,0.65847,27085.2,9e-05
2025-10-08T00:00:00Z,0.65634,0.65877,0.65586,0.65865,22405.1,9e-05
2025-10-09T00:00:00Z,0.65845,0.66124,0.65436,0.65512,36958.25,9e-05
2025-10-10T00:00:00Z,0.65701,0.6572,0.65499,0.65551,18427.93,9e-05
2025-10-13T00:00:00Z,0.65268,0.65329,0.65121,0.65157,27848.52,9e-05
2025-10-14T00:00:00Z,0.65118,0.65213,0.64435,0.64911,40850.78,9e-05
2025-10-15T00:00:00Z,0.65128,0.65231,0.64887,0.65016,34613.51,9e-05
2025-10-16T00:00:00Z,0.64929,0.65075,0.64774,0.6486,37142.47,0.00016
2025-10-17T00:00:00Z,0.64742,0.65026,0.64611,0.64899,61015.43,0.0001
2025-10-20T00:00:00Z,0.65051,0.6519,0.64916,0.65165,27833.89,0.0001
2025-10-21T00:00:00Z,0.64878,0.64957,0.64728,0.64766,32804.27,9e-05
2025-10-22T00:00:00Z,0.6491,0.65085,0.64786,0.64878,41253.99,9e-05
2025-10-23T00:00:00Z,0.64879,0.65179,0.64834,0.65165,25112.63,9e-05
2025-10-24T00:00:00Z,0.64966,0.65137,0.64952,0.65095,16833.93,9e-05
2025-10-27T00:00:00Z,0.65336,0.65592,0.65284,0.65565,31056.46,9e-05
2025-10-28T00:00:00Z,0.65573,0.65894,0.65445,0.65851,31315.2,9e-05
2025-10-29T00:00:00Z,0.65848,0.66077,0.65572,0.65731,76757.98,0.0001
2025-10-30T00:00:00Z,0.65904,0.65976,0.65382,0.65591,60473.63,0.0001
2025-10-31T00:00:00Z,0.65498,0.65498,0.65355,0.65402,19023.34,9e-05
2025-11-03T00:00:00Z,0.65454,0.65626,0.65333,0.65383,32943.83,0.0001
2025-11-04T00:00:00Z,0.65383,0.65383,0.64824,0.64849,40891.0,9e-05
2025-11-05T00:00:00Z,0.64926,0.65109,0.64795,0.65051,23731.19,9e-05
2025-11-06T00:00:00Z,0.65119,0.6518,0.64813,0.64813,29630.61,9e-05
2025-11-07T00:00:00Z,0.64807,0.64991,0.64676,0.64941,43506.82,9e-05
2025-11-10T00:00:00Z,0.65288,0.65391,0.65146,0.65346,18311.17,9e-05
2025-11-11T00:00:00Z,0.65236,0.65382,0.65179,0.65307,20004.4,9e-05
2025-11-12T00:00:00Z,0.65218,0.65504,0.65181,0.65362,28708.97,9e-05
2025-11-13T00:00:00Z,0.65365,0.65657,0.65285,0.65298,30837.55,9e-05
2025-11-14T00:00:00Z,0.65423,0.65477,0.65303,0.6542,22698.47,9e-05
2025-11-16T00:00:00Z,0.65341,0.65355,0.65304,0.65327,3227.97,0.0001
2025-11-17T00:00:00Z,0.65228,0.6526,0.64829,0.64924,36177.82,9e-05
2025-11-18T00:00:00Z,0.64816,0.6511,0.6475,0.65074,31662.12,9e-05
2025-11-19T00:00:00Z,0.65016,0.65022,0.64592,0.64903,40486.35,9e-05
2025-11-20T00:00:00Z,0.6484,0.64973,0.64363,0.64454,60048.08,9e-05
2025-11-21T00:00:00Z,0.64491,0.64563,0.64231,0.64351,31104.26,9e-05
2025-11-23T00:00:00Z,0.64597,0.64616,0.64565,0.64588,2092.66,0.00043
2025-11-24T00:00:00Z,0.64604,0.64664,0.6445,0.64663,47389.74,0.00012
2025-11-25T00:00:00Z,0.64535,0.64708,0.64466,0.64708,22295.56,0.00016
2025-11-26T00:00:00Z,0.64704,0.65169,0.64691,0.65151,53404.62,9e-05
2025-11-27T00:00:00Z,0.65234,0.65348,0.65216,0.65343,18203.86,0.00012
